,region,education,jobtype,cptype,sales,employees,aversalary,capital,pros
89,경기,3,3,1,-,-,-,-,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-육아휴직 제공 기업-KOSPI 상장-휴식까지 챙겨줘요!
90,강원특별자치도,4,1,1,-,-,-,-,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-보너스로 행복해요♥-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
91,강원특별자치도,0,1,1,-,-,-,-,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-HOT한 인기기업-매출 1000대 기업-인크루트 인증 우수기업
92,강원특별자치도,0,3,3,32879127,"3,241",5739,208129,성장판 열린 회사-채용에 적극적인 회사-HOT한 인기기업-지방에 위치한 대기업
93,강원특별자치도,0,3,2,2547000000,"18,000",-,-,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업
94,강원특별자치도,0,1,1,4499319,418,5928,4933250,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
95,강원특별자치도,0,3,1,4499319,418,-,4933250,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-공기업 in 서울
96,강원특별자치도,0,2,1,24636017,"5,624",4166,19400,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-KOSPI 상장
97,강원특별자치도,0,1,1,53059,295,-,500,성장판 열린 회사-구직자 인기기업-인크루트 인증 우수기업-공기업 in 서울
98,강원특별자치도,0,3,1,53059,295,-,500,구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
99,강원특별자치도,2,3,3,874015900,"2,847",7540,153127500,안정적인 장수 회사-구직자 인기기업-HOT한 인기기업-평균연봉 6천이상-대기업 in 서울-KOSPI 상장
100,충북,4,1,3,874015900,"2,847",-,153127500,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-보너스로 행복해요♥-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
101,충북,0,1,3,874015900,"2,847",-,153127500,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-HOT한 인기기업-매출 1000대 기업-인크루트 인증 우수기업
102,충북,0,3,3,32879127,"3,241",5739,208129,성장판 열린 회사-채용에 적극적인 회사-HOT한 인기기업-지방에 위치한 대기업
103,충북,0,1,1,4499319,418,5928,4933250,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
104,충북,0,2,1,24636017,"5,624",4166,19400,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-KOSPI 상장
105,충북,4,3,3,173969139,"3,219",5553,11701220,구직자 인기기업-복지의 끝판왕-매출 1조 클럽-집 걱정 안 하기-매출 1000대 기업-대기업 in 서울-KOSPI 상장
106,충북,0,3,3,173969139,"3,219",-,11701220,구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
107,충북,0,2,3,211411300,"13,343",11230,338139200,구직자 인기기업-복지의 끝판왕-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
108,충북,2,3,3,211411300,"13,343",-,338139200,안정적인 장수 회사-구직자 인기기업-복지의 끝판왕-보너스로 행복해요♥-집 걱정 안 하기-인크루트 인증 우수기업-장기근속수당제공 기업-KOSPI 상장-휴식까지 챙겨줘요!
109,충북,3,3,3,211411300,"13,343",-,338139200,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-잘나가는 의료·바이오기업-인크루트 인증 우수기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
110,충남,4,1,3,211411300,"13,343",-,338139200,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-보너스로 행복해요♥-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
111,충남,0,1,3,211411300,"13,343",-,338139200,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-HOT한 인기기업-매출 1000대 기업-인크루트 인증 우수기업
112,충남,0,3,2,2547000000,"18,000",-,-,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업
113,충남,0,3,1,-,-,-,-,구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
114,충남,3,3,1,-,-,-,-,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-육아휴직 제공 기업-KOSPI 상장-휴식까지 챙겨줘요!
115,충남,0,2,1,24636017,"5,624",4166,19400,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-KOSPI 상장
116,충남,4,3,3,173969139,"3,219",5553,11701220,구직자 인기기업-복지의 끝판왕-매출 1조 클럽-집 걱정 안 하기-매출 1000대 기업-대기업 in 서울-KOSPI 상장
117,충남,0,2,3,251269913,"1,257",6865,18317031,성장판 열린 회사-매출 1조 클럽-매출 1000대 기업-인크루트 인증 우수기업-KOSPI 상장
118,충남,0,3,3,251269913,"1,257",-,18317031,구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
119,충남,4,3,3,251269913,"1,257",-,18317031,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-매출 1조 클럽-매출 1000대 기업-인크루트 인증 우수기업-KOSPI 상장
120,전북특별자치도,4,1,3,251269913,"1,257",-,18317031,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-보너스로 행복해요♥-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
