,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
50,충북,에스케이케미칼,청주공장 품질관리책임자 신입/경력 채용,신입/경력(연차무관),대졸이상,정규직,대기업,"1조 2,560억 3,017만원 (2022)","1,448 명 재직중","6,960만원
자세히보기","987억 9,350만원",1000대-SK그룹-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-아침을 왜 굶어요?-자기계발비 지원 기업-보너스로 행복해요♥-내 출퇴근은 내 맘대로-아낌없이 주는 커피-아이와 함께 출근해요-잘나가는 의료·바이오기업-집 걱정 안 하기-장기근속수당제공 기업-육아휴직 제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
51,충북,건국대학교,2024학년도 상반기 건국대학교 정규직(기능직) 채용,신입/경력(연차무관),고졸이상,정규직,소기업,"1조 250억 3,072만원 (2023)","7,246 명 재직중","2,212만원
자세히보기","1조 864억 1,425만원",1000대-안정적인 장수 회사-구직자 인기기업
52,충북,삼성전자판매(주),갤럭시 컨설턴트 채용 (충청/경상권),신입/경력(연차무관),학력무관,계약직,대기업,"3조 4,462억 6,273만원 (2022)","3,897 명 재직중","7,218만원
자세히보기","176억 6,660만원",1000대-삼성그룹-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-
53,충북,(주)DB하이텍,[DB하이텍] 장비 엔지니어 신입사원 상시채용 (부천/음성),신입,초대졸이상,정규직,대기업,"3조 4,462억 6,273만원 (2022)","3,897 명 재직중",-,"176억 6,660만원",1000대-DB그룹-안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-매출 1000대 기업-대기업 in 서울-육아휴직 제공 기업-
54,충북,우리은행,[충청북부] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","7,469만원
자세히보기","3조 3,813억 9,200만원",KOSPI-우수기업-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상----
55,충남,한화에너지주식회사,"[한화에너지계열] 24년 대졸신입 통합채용(한화에너지, 한화임팩트, 한화토탈에너지스, 한화파워시스템 등)",신입,대졸이상,정규직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
56,충남,삼성전자판매(주),갤럭시 컨설턴트 채용 (충청/경상권),신입/경력(연차무관),학력무관,계약직,대기업,"3조 4,462억 6,273만원 (2022)","3,897 명 재직중","7,218만원
자세히보기","176억 6,660만원",1000대-삼성그룹-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-
57,충남,코레일관광개발(주),2024년 2차 공개경쟁 채용 모집공고,신입/경력(연차무관),학력무관,정규직외,대기업,"3조 4,462억 6,273만원 (2022)","3,897 명 재직중",-,"176억 6,660만원",한국철도공사그룹-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업-공기업 in 서울
58,충남,우리은행,[충청북부] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","7,469만원
자세히보기","3조 3,813억 9,200만원",KOSPI-우수기업-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
59,충남,한화에어로스페이스(주),2024년 2분기 한화에어로스페이스 대규모 경력사원 채용,경력(연차무관),대졸이상,정규직,대기업,"4조 9,789억 9,285만원 (2023)","6,917 명 재직중","6,920만원
자세히보기","2,656억 5,000만원",1000대-한화그룹-안정적인 장수 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-매출 1000대 기업-인크루트 인증 우수기업-KOSPI 상장
